Date,simple_week,simple_day,simple_month,Open,KOR_short_ir,Dollar_index,Dowjones_index,Dow_medibio_index,Dow_medical_index,Nasdaq_index,Kosdaq_index,Kosdaq_trans,Kosdaq_medical_index,Kosdaq_medical_trans,Kospi_trans,new_confirm,agg_confirm,new_death,agg_confirm,new_confirm_t1,agg_confirm_t1,new_death_t1,agg_confirm_t1,new_confirm_t2,agg_confirm_t2,new_death_t2,agg_confirm_t2,keyword_cvd19,keyword_confirm,keyword_death,keyword_cvd19t1,keyword_confirmt1,keyword_deatht1,keyword_cvd19t2,keyword_confirmt2,keyword_deatht2,kospi_index
2020-06-28,27,1,6,0,0.5,0.72,0.3,0.86,0.58,0.88,0.55,0.88,0.65,0.64,0.78,0.69,0.91,0.36,0.95,0.63,0.91,0.36,0.95,0.57,0.91,0.36,0.95,0.86,0.91,0.46,0.53,0.91,0.46,0.94,0.41,0.46,0.37
2020-06-29,27,2,6,1,0.5,0.73,0.43,0.87,0.63,0.9,0.48,0.77,0.6,0.51,0.63,0.59,0.91,0.36,0.95,0.69,0.91,0.36,0.95,0.63,0.91,0.36,0.95,0.98,1,0.46,0.86,0.91,0.46,0.53,0.91,0.46,0.29
2020-06-30,27,3,6,1,0.5,0.71,0.48,0.92,0.69,0.92,0.49,0.92,0.58,0.82,0.72,0.59,0.91,0.36,0.95,0.59,0.91,0.36,0.95,0.69,0.91,0.36,0.95,0.98,0.41,0.46,0.98,1,0.46,0.86,0.91,0.46,0.32
2020-07-01,27,4,7,1,0.5,0.69,0.46,0.93,0.73,0.93,0.45,0.65,0.53,0.84,0.98,0.63,0.91,0.36,0.95,0.59,0.91,0.36,0.95,0.59,0.91,0.36,0.95,0.99,0.41,0.46,0.98,0.41,0.46,0.98,1,0.46,0.32
2020-07-02,27,5,7,1,0.5,0.7,0.48,0.95,0.76,0.94,0.51,0.62,0.57,0.65,0.98,0.65,0.91,0.36,0.95,0.63,0.91,0.36,0.95,0.59,0.91,0.36,0.95,0.94,0.41,0.46,0.99,0.41,0.46,0.98,0.41,0.46,0.38
2020-07-03,27,6,7,1,0.5,0.68,0.48,0.95,0.76,0.94,0.55,0.73,0.63,0.9,0.79,0.69,0.91,0.36,0.95,0.65,0.92,0.36,0.95,0.63,0.92,0.36,0.95,0.8,0.91,0.46,0.94,0.41,0.46,0.99,0.41,0.46,0.41
2020-07-04,27,7,7,0,0.5,0.68,0.48,0.95,0.76,0.94,0.55,0.73,0.63,0.9,0.79,0.69,0.92,0.67,0.95,0.69,0.92,0.36,0.95,0.65,0.92,0.36,0.95,0.43,0.41,0.46,0.8,0.91,0.46,0.94,0.41,0.46,0.41
2020-07-05,28,1,7,0,0.5,0.68,0.48,0.95,0.76,0.94,0.55,0.73,0.63,0.9,0.79,0.68,0.92,0.36,0.95,0.69,0.92,0.67,0.95,0.69,0.92,0.36,0.95,0.72,0.91,0.46,0.43,0.41,0.46,0.8,0.91,0.46,0.41
2020-07-06,28,2,7,1,0.5,0.62,0.59,0.96,0.81,0.96,0.59,0.61,0.64,0.51,0.66,0.61,0.92,0.67,0.95,0.68,0.92,0.36,0.95,0.69,0.92,0.67,0.96,0.86,0.41,0.46,0.72,0.91,0.46,0.43,0.41,0.46,0.49
2020-07-07,28,3,7,1,0.5,0.64,0.5,0.96,0.79,0.95,0.58,0.73,0.67,0.62,0.87,0.6,0.92,0.67,0.95,0.61,0.92,0.67,0.96,0.68,0.92,0.36,0.96,0.53,0.41,0.46,0.86,0.41,0.46,0.72,0.91,0.46,0.44
